"Kantons_Nr","Gemeinde_Nr","Ja_Stimmen_In_Prozent","Ja_Stimmen_Absolut","Nein_Stimmen_Absolut","Stimmbeteiligung_In_Prozent","Eingelegte_Stimmzettel","Anzahl_Stimmberechtigte","Gueltige_Stimmen","Gebiet_Ausgezaehlt","Kanton_Short","Gemeinde_d","Gemeinde_f","Gemeinde_i","Gemeinde_KT_d","Gemeinde_KT_f","Gemeinde_KT_i","Kanton_d","Kanton_f","Kanton_i","Ja_Stimmen_In_Prozent_Kanton","Highest_Yes_Kant","Highest_No_Kant"
1,1,72.4489795918367,7881,2997,,,,10878,TRUE,"ZH","Aeugst am Albis","Aeugst am Albis","Aeugst am Albis","Aeugst am Albis ZH","Aeugst am Albis (ZH)","Aeugst am Albis (ZH)","Zürich","Zurich","Zurigo",91.4439513813704,FALSE,FALSE
1,2,66.9496544916091,3391,1674,,,,5065,TRUE,"ZH","Affoltern am Albis","Affoltern am Albis","Affoltern am Albis","Affoltern am Albis ZH","Affoltern am Albis (ZH)","Affoltern am Albis (ZH)","Zürich","Zurich","Zurigo",91.4439513813704,FALSE,FALSE
1,3,54.7066246056782,8671,7179,,,,15850,TRUE,"ZH","Bonstetten","Bonstetten","Bonstetten","Bonstetten ZH","Bonstetten (ZH)","Bonstetten (ZH)","Zürich","Zurich","Zurigo",91.4439513813704,FALSE,FALSE
1,4,12.301142729106,1098,7828,,,,8926,TRUE,"ZH","Hausen am Albis","Hausen am Albis","Hausen am Albis","Hausen am Albis ZH","Hausen am Albis (ZH)","Hausen am Albis (ZH)","Zürich","Zurich","Zurigo",91.4439513813704,FALSE,FALSE
1,5,31.4006287111422,3596,7856,,,,11452,TRUE,"ZH","Hedingen","Hedingen","Hedingen","Hedingen ZH","Hedingen (ZH)","Hedingen (ZH)","Zürich","Zurich","Zurigo",91.4439513813704,FALSE,FALSE
1,6,51.2061555524747,7387,7039,,,,14426,TRUE,"ZH","Kappel am Albis","Kappel am Albis","Kappel am Albis","Kappel am Albis ZH","Kappel am Albis (ZH)","Kappel am Albis (ZH)","Zürich","Zurich","Zurigo",91.4439513813704,FALSE,FALSE
1,7,54.4906900328587,5970,4986,,,,10956,TRUE,"ZH","Knonau","Knonau","Knonau","Knonau ZH","Knonau (ZH)","Knonau (ZH)","Zürich","Zurich","Zurigo",91.4439513813704,FALSE,FALSE
1,8,83.056,5191,1059,,,,6250,TRUE,"ZH","Maschwanden","Maschwanden","Maschwanden","Maschwanden ZH","Maschwanden (ZH)","Maschwanden (ZH)","Zürich","Zurich","Zurigo",91.4439513813704,FALSE,FALSE
1,9,30.2202420981843,3595,8301,,,,11896,TRUE,"ZH","Mettmenstetten","Mettmenstetten","Mettmenstetten","Mettmenstetten ZH","Mettmenstetten (ZH)","Mettmenstetten (ZH)","Zürich","Zurich","Zurigo",91.4439513813704,FALSE,FALSE
1,10,39.1143911439114,2226,3465,,,,5691,TRUE,"ZH","Obfelden","Obfelden","Obfelden","Obfelden ZH","Obfelden (ZH)","Obfelden (ZH)","Zürich","Zurich","Zurigo",91.4439513813704,FALSE,FALSE
1,11,72.3549488054608,4876,1863,,,,6739,TRUE,"ZH","Ottenbach","Ottenbach","Ottenbach","Ottenbach ZH","Ottenbach (ZH)","Ottenbach (ZH)","Zürich","Zurich","Zurigo",91.4439513813704,FALSE,FALSE
1,12,69.5913043478261,8003,3497,,,,11500,TRUE,"ZH","Rifferswil","Rifferswil","Rifferswil","Rifferswil ZH","Rifferswil (ZH)","Rifferswil (ZH)","Zürich","Zurich","Zurigo",91.4439513813704,FALSE,FALSE
1,13,51.5115937775169,3510,3304,,,,6814,TRUE,"ZH","Stallikon","Stallikon","Stallikon","Stallikon ZH","Stallikon (ZH)","Stallikon (ZH)","Zürich","Zurich","Zurigo",91.4439513813704,FALSE,FALSE
1,14,47.6925196308031,6924,7594,,,,14518,TRUE,"ZH","Wettswil am Albis","Wettswil am Albis","Wettswil am Albis","Wettswil am Albis ZH","Wettswil am Albis (ZH)","Wettswil am Albis (ZH)","Zürich","Zurich","Zurigo",91.4439513813704,FALSE,FALSE
1,22,43.6346034160846,6310,8151,,,,14461,TRUE,"ZH","Benken ZH","Benken (ZH)","Benken ZH","Benken ZH","Benken (ZH)","Benken (ZH)","Zürich","Zurich","Zurigo",91.4439513813704,FALSE,FALSE
1,23,62.2130394857668,9485,5761,,,,15246,TRUE,"ZH","Berg am Irchel","Berg am Irchel","Berg am Irchel","Berg am Irchel ZH","Berg am Irchel (ZH)","Berg am Irchel (ZH)","Zürich","Zurich","Zurigo",91.4439513813704,FALSE,FALSE
1,24,72.2974985110185,9711,3721,,,,13432,TRUE,"ZH","Buch am Irchel","Buch am Irchel","Buch am Irchel","Buch am Irchel ZH","Buch am Irchel (ZH)","Buch am Irchel (ZH)","Zürich","Zurich","Zurigo",91.4439513813704,FALSE,FALSE
1,25,44.6012544802867,7964,9892,,,,17856,TRUE,"ZH","Dachsen","Dachsen","Dachsen","Dachsen ZH","Dachsen (ZH)","Dachsen (ZH)","Zürich","Zurich","Zurigo",91.4439513813704,FALSE,FALSE
1,26,46.6605742136928,6127,7004,,,,13131,TRUE,"ZH","Dorf","Dorf","Dorf","Dorf ZH","Dorf (ZH)","Dorf (ZH)","Zürich","Zurich","Zurigo",91.4439513813704,FALSE,FALSE
1,27,61.7603836336917,7985,4944,,,,12929,TRUE,"ZH","Feuerthalen","Feuerthalen","Feuerthalen","Feuerthalen ZH","Feuerthalen (ZH)","Feuerthalen (ZH)","Zürich","Zurich","Zurigo",91.4439513813704,FALSE,FALSE
1,28,48.9621985157699,8445,8803,,,,17248,TRUE,"ZH","Flaach","Flaach","Flaach","Flaach ZH","Flaach (ZH)","Flaach (ZH)","Zürich","Zurich","Zurigo",91.4439513813704,FALSE,FALSE
1,29,46.3611111111111,8345,9655,,,,18000,TRUE,"ZH","Flurlingen","Flurlingen","Flurlingen","Flurlingen ZH","Flurlingen (ZH)","Flurlingen (ZH)","Zürich","Zurich","Zurigo",91.4439513813704,FALSE,FALSE
1,31,46.0734577922078,4541,5315,,,,9856,TRUE,"ZH","Henggart","Henggart","Henggart","Henggart ZH","Henggart (ZH)","Henggart (ZH)","Zürich","Zurich","Zurigo",91.4439513813704,FALSE,FALSE
1,33,24.0664611168208,1405,4433,,,,5838,TRUE,"ZH","Kleinandelfingen","Kleinandelfingen","Kleinandelfingen","Kleinandelfingen ZH","Kleinandelfingen (ZH)","Kleinandelfingen (ZH)","Zürich","Zurich","Zurigo",91.4439513813704,FALSE,FALSE
1,34,29.7017742544356,3934,9311,,,,13245,TRUE,"ZH","Laufen-Uhwiesen","Laufen-Uhwiesen","Laufen-Uhwiesen","Laufen-Uhwiesen ZH","Laufen-Uhwiesen (ZH)","Laufen-Uhwiesen (ZH)","Zürich","Zurich","Zurigo",91.4439513813704,FALSE,FALSE
1,35,29.04286089929,2209,5397,,,,7606,TRUE,"ZH","Marthalen","Marthalen","Marthalen","Marthalen ZH","Marthalen (ZH)","Marthalen (ZH)","Zürich","Zurich","Zurigo",91.4439513813704,FALSE,FALSE
1,37,19.9412052915238,814,3268,,,,4082,TRUE,"ZH","Ossingen","Ossingen","Ossingen","Ossingen ZH","Ossingen (ZH)","Ossingen (ZH)","Zürich","Zurich","Zurigo",91.4439513813704,FALSE,FALSE
1,38,40.5476093175317,4961,7274,,,,12235,TRUE,"ZH","Rheinau","Rheinau","Rheinau","Rheinau ZH","Rheinau (ZH)","Rheinau (ZH)","Zürich","Zurich","Zurigo",91.4439513813704,FALSE,FALSE
1,39,1.71393341553637,139,7971,,,,8110,TRUE,"ZH","Thalheim an der Thur","Thalheim an der Thur","Thalheim an der Thur","Thalheim an der Thur ZH","Thalheim an der Thur (ZH)","Thalheim an der Thur (ZH)","Zürich","Zurich","Zurigo",91.4439513813704,FALSE,FALSE
1,40,43.9962811985983,6152,7831,,,,13983,TRUE,"ZH","Trüllikon","Trüllikon","Trüllikon","Trüllikon ZH","Trüllikon (ZH)","Trüllikon (ZH)","Zürich","Zurich","Zurigo",91.4439513813704,FALSE,FALSE
1,41,20.5503080082136,2502,9673,,,,12175,TRUE,"ZH","Truttikon","Truttikon","Truttikon","Truttikon ZH","Truttikon (ZH)","Truttikon (ZH)","Zürich","Zurich","Zurigo",91.4439513813704,FALSE,FALSE
1,43,41.948495190816,4056,5613,,,,9669,TRUE,"ZH","Volken","Volken","Volken","Volken ZH","Volken (ZH)","Volken (ZH)","Zürich","Zurich","Zurigo",91.4439513813704,FALSE,FALSE
1,51,72.6192526261409,4217,1590,,,,5807,TRUE,"ZH","Bachenbülach","Bachenbülach","Bachenbülach","Bachenbülach ZH","Bachenbülach (ZH)","Bachenbülach (ZH)","Zürich","Zurich","Zurigo",91.4439513813704,FALSE,FALSE
1,52,45.979055522624,4654,5468,,,,10122,TRUE,"ZH","Bassersdorf","Bassersdorf","Bassersdorf","Bassersdorf ZH","Bassersdorf (ZH)","Bassersdorf (ZH)","Zürich","Zurich","Zurigo",91.4439513813704,FALSE,FALSE
1,53,95.5989894960776,7190,331,,,,7521,TRUE,"ZH","Bülach","Bülach","Bülach","Bülach ZH","Bülach (ZH)","Bülach (ZH)","Zürich","Zurich","Zurigo",91.4439513813704,FALSE,FALSE
1,54,31.5311597193562,764,1659,,,,2423,TRUE,"ZH","Dietlikon","Dietlikon","Dietlikon","Dietlikon ZH","Dietlikon (ZH)","Dietlikon (ZH)","Zürich","Zurich","Zurigo",91.4439513813704,FALSE,FALSE
