"ID","Gemeinde_color","Ja_Stimmen_In_Prozent","Nein_Stimmen_In_Prozent","Gemeinde_de","Text_de"
6601,63.2,63.2,36.8,"Aire-la-Ville GE","NA NA"
6602,76.3,76.3,23.7,"Anières GE","NA NA"
6603,68.9,68.9,31.1,"Avully GE","NA NA"
6604,42.9,42.9,57.1,"Avusy GE","NA NA"
6605,69.2,69.2,30.8,"Bardonnex GE","NA NA"
6606,28.9,28.9,71.1,"Bellevue GE","NA NA"
6607,59.2,59.2,40.8,"Bernex GE","NA NA"
6608,74.4,74.4,25.6,"Carouge GE","NA NA"
6609,72.4,72.4,27.6,"Cartigny GE","NA NA"
6610,54.2,54.2,45.8,"Céligny GE","NA NA"
6611,31.6,31.6,68.4,"Chancy GE","NA NA"
6612,51.3,51.3,48.7,"Chêne-Bougeries GE","NA NA"
6613,87.7,87.7,12.3,"Chêne-Bourg GE","NA NA"
6614,45.4,45.4,54.6,"Choulex GE","NA NA"
6615,53,53,47,"Collex-Bossy GE","NA NA"
6616,49.3,49.3,50.7,"Collonge-Bellerive GE","NA NA"
6617,34.5,34.5,65.5,"Cologny GE","NA NA"
6618,39.2,39.2,60.8,"Confignon GE","NA NA"
6619,85.2,85.2,14.8,"Corsier GE","NA NA"
6620,65.1,65.1,34.9,"Dardagny GE","NA NA"
6621,90.4,90.4,9.6,"Genf GE","NA NA"
6622,26,26,74,"Genthod GE","NA NA"
6623,39.1,39.1,60.9,"Le Grand-Saconnex GE","NA NA"
6624,47.2,47.2,52.8,"Gy GE","NA NA"
6625,38.8,38.8,61.2,"Hermance GE","NA NA"
6626,43.5,43.5,56.5,"Jussy GE","NA NA"
6627,47.4,47.4,52.6,"Laconnex GE","NA NA"
6628,16.5,16.5,83.5,"Lancy GE","NA NA"
6629,24.8,24.8,75.2,"Meinier GE","NA NA"
6630,48,48,52,"Meyrin GE","NA NA"
6631,98.7,98.7,1.3,"Onex GE","NA NA"
6632,85.4,85.4,14.6,"Perly-Certoux GE","NA NA"
6633,1.3,1.3,98.7,"Plan-les-Ouates GE","NA NA"
6634,69,69,31,"Pregny-Chambésy GE","NA NA"
6635,91,91,9,"Presinge GE","NA NA"
6636,16.4,16.4,83.6,"Puplinge GE","NA NA"
6637,22.2,22.2,77.8,"Russin GE","NA NA"
6638,52.6,52.6,47.4,"Satigny GE","NA NA"
6639,36,36,64,"Soral GE","NA NA"
6640,15.5,15.5,84.5,"Thônex GE","NA NA"
6641,45.9,45.9,54.1,"Troinex GE","NA NA"
6642,42.8,42.8,57.2,"Vandoeuvres GE","NA NA"
6643,17.5,17.5,82.5,"Vernier GE","NA NA"
6644,51.2,51.2,48.8,"Versoix GE","NA NA"
6645,46.2,46.2,53.8,"Veyrier GE","NA NA"
