"ID","Gemeinde_color","Ja_Stimmen_In_Prozent","Nein_Stimmen_In_Prozent","Gemeinde_it","Text_it"
4001,81,81,19,"Aarau (AG)","NA NA"
4002,98,98,2,"Biberstein (AG)","NA NA"
4003,64,64,36,"Buchs (AG)","NA NA"
4004,69.5,69.5,30.5,"Densbüren (AG)","NA NA"
4005,27.6,27.6,72.4,"Erlinsbach (AG)","NA NA"
4006,7.1,7.1,92.9,"Gränichen (AG)","NA NA"
4007,59.9,59.9,40.1,"Hirschthal (AG)","NA NA"
4008,1.2,1.2,98.8,"Küttigen (AG)","NA NA"
4009,77.3,77.3,22.7,"Muhen (AG)","NA NA"
4010,27,27,73,"Oberentfelden (AG)","NA NA"
4012,42.8,42.8,57.2,"Suhr (AG)","NA NA"
4013,30,30,70,"Unterentfelden (AG)","NA NA"
4021,60.2,60.2,39.8,"Baden (AG)","NA NA"
4022,64.5,64.5,35.5,"Bellikon (AG)","NA NA"
4023,22.8,22.8,77.2,"Bergdietikon (AG)","NA NA"
4024,38.8,38.8,61.2,"Birmenstorf (AG)","NA NA"
4026,29.8,29.8,70.2,"Ennetbaden (AG)","NA NA"
4027,56.2,56.2,43.8,"Fislisbach (AG)","NA NA"
4028,86.3,86.3,13.7,"Freienwil (AG)","NA NA"
4029,27.2,27.2,72.8,"Gebenstorf (AG)","NA NA"
4030,82.6,82.6,17.4,"Killwangen (AG)","NA NA"
4031,18.8,18.8,81.2,"Künten (AG)","NA NA"
4032,4.3,4.3,95.7,"Mägenwil (AG)","NA NA"
4033,40.4,40.4,59.6,"Mellingen (AG)","NA NA"
4034,50,50,50,"Neuenhof (AG)","NA NA"
4035,22.6,22.6,77.4,"Niederrohrdorf (AG)","NA NA"
4037,53,53,47,"Oberrohrdorf (AG)","NA NA"
4038,65.3,65.3,34.7,"Obersiggenthal (AG)","NA NA"
4039,65.1,65.1,34.9,"Remetschwil (AG)","NA NA"
4040,30.4,30.4,69.6,"Spreitenbach (AG)","NA NA"
4041,54.7,54.7,45.3,"Stetten (AG)","NA NA"
4044,18.7,18.7,81.3,"Untersiggenthal (AG)","NA NA"
4045,58.5,58.5,41.5,"Wettingen (AG)","NA NA"
4046,10.9,10.9,89.1,"Wohlenschwil (AG)","NA NA"
4047,15.8,15.8,84.2,"Würenlingen (AG)","NA NA"
4048,67.2,67.2,32.8,"Würenlos (AG)","NA NA"
4049,27.8,27.8,72.2,"Ehrendingen (AG)","NA NA"
4061,56.6,56.6,43.4,"Arni (AG)","NA NA"
4062,36.2,36.2,63.8,"Berikon (AG)","NA NA"
4063,55.8,55.8,44.2,"Bremgarten (AG)","NA NA"
4064,24.5,24.5,75.5,"Büttikon (AG)","NA NA"
4065,5.5,5.5,94.5,"Dottikon (AG)","NA NA"
4066,30.4,30.4,69.6,"Eggenwil (AG)","NA NA"
4067,7.1,7.1,92.9,"Fischbach-Göslikon (AG)","NA NA"
4068,25,25,75,"Hägglingen (AG)","NA NA"
4071,51.4,51.4,48.6,"Jonen (AG)","NA NA"
4072,16,16,84,"Niederwil (AG)","NA NA"
4073,57.4,57.4,42.6,"Oberlunkhofen (AG)","NA NA"
4074,57.3,57.3,42.7,"Oberwil-Lieli (AG)","NA NA"
4075,41,41,59,"Rudolfstetten-Friedlisberg (AG)","NA NA"
4076,49.5,49.5,50.5,"Sarmenstorf (AG)","NA NA"
4077,74.9,74.9,25.1,"Tägerig (AG)","NA NA"
4078,38,38,62,"Uezwil (AG)","NA NA"
4079,59,59,41,"Unterlunkhofen (AG)","NA NA"
4080,71.1,71.1,28.9,"Villmergen (AG)","NA NA"
4081,84.6,84.6,15.4,"Widen (AG)","NA NA"
4082,97.7,97.7,2.3,"Wohlen (AG)","NA NA"
4083,94.5,94.5,5.5,"Zufikon (AG)","NA NA"
4084,15.6,15.6,84.4,"Islisberg (AG)","NA NA"
4091,84.2,84.2,15.8,"Auenstein (AG)","NA NA"
4092,4.4,4.4,95.6,"Birr (AG)","NA NA"
4093,42.8,42.8,57.2,"Birrhard (AG)","NA NA"
4095,38.3,38.3,61.7,"Brugg (AG)","NA NA"
4099,62.6,62.6,37.4,"Habsburg (AG)","NA NA"
4100,63.2,63.2,36.8,"Hausen (AG)","NA NA"
4104,49.1,49.1,50.9,"Lupfig (AG)","NA NA"
4105,73.4,73.4,26.6,"Mandach (AG)","NA NA"
4106,30.5,30.5,69.5,"Mönthal (AG)","NA NA"
4107,48.1,48.1,51.9,"Mülligen (AG)","NA NA"
4110,93.1,93.1,6.9,"Remigen (AG)","NA NA"
4111,43.6,43.6,56.4,"Riniken (AG)","NA NA"
4112,35.8,35.8,64.2,"Rüfenach (AG)","NA NA"
4117,16.1,16.1,83.9,"Thalheim (AG)","NA NA"
4120,22.6,22.6,77.4,"Veltheim (AG)","NA NA"
4121,20.2,20.2,79.8,"Villigen (AG)","NA NA"
4123,50,50,50,"Windisch (AG)","NA NA"
4124,23.1,23.1,76.9,"Bözberg (AG)","NA NA"
4125,71.1,71.1,28.9,"Schinznach (AG)","NA NA"
4131,72.1,72.1,27.9,"Beinwil am See (AG)","NA NA"
4132,29.6,29.6,70.4,"Birrwil (AG)","NA NA"
4134,90.9,90.9,9.1,"Dürrenäsch (AG)","NA NA"
4135,25.8,25.8,74.2,"Gontenschwil (AG)","NA NA"
4136,26.7,26.7,73.3,"Holziken (AG)","NA NA"
4137,64.3,64.3,35.7,"Leimbach (AG)","NA NA"
4138,18,18,82,"Leutwil (AG)","NA NA"
4139,60.6,60.6,39.4,"Menziken (AG)","NA NA"
4140,45.1,45.1,54.9,"Oberkulm (AG)","NA NA"
4141,94.4,94.4,5.6,"Reinach (AG)","NA NA"
4142,53,53,47,"Schlossrued (AG)","NA NA"
4143,71.6,71.6,28.4,"Schmiedrued (AG)","NA NA"
4144,49.9,49.9,50.1,"Schöftland (AG)","NA NA"
4145,90.5,90.5,9.5,"Teufenthal (AG)","NA NA"
4146,38.4,38.4,61.6,"Unterkulm (AG)","NA NA"
4147,45.1,45.1,54.9,"Zetzwil (AG)","NA NA"
4161,51.6,51.6,48.4,"Eiken (AG)","NA NA"
4163,69.2,69.2,30.8,"Frick (AG)","NA NA"
4164,1,1,99,"Gansingen (AG)","NA NA"
4165,27,27,73,"Gipf-Oberfrick (AG)","NA NA"
4169,21.7,21.7,78.3,"Kaisten (AG)","NA NA"
4170,48.8,48.8,51.2,"Laufenburg (AG)","NA NA"
4172,36.2,36.2,63.8,"Münchwilen (AG)","NA NA"
4173,39.5,39.5,60.5,"Oberhof (AG)","NA NA"
4175,20.1,20.1,79.9,"Oeschgen (AG)","NA NA"
4176,29.6,29.6,70.4,"Schwaderloch (AG)","NA NA"
4177,87.1,87.1,12.9,"Sisseln (AG)","NA NA"
4181,54.3,54.3,45.7,"Wittnau (AG)","NA NA"
4182,59.8,59.8,40.2,"Wölflinswil (AG)","NA NA"
4183,54.7,54.7,45.3,"Zeihen (AG)","NA NA"
4184,16.5,16.5,83.5,"Mettauertal (AG)","NA NA"
4185,53,53,47,"Böztal (AG)","NA NA"
4186,11.5,11.5,88.5,"Herznach-Ueken (AG)","NA NA"
4191,42.6,42.6,57.4,"Ammerswil (AG)","NA NA"
4192,54.7,54.7,45.3,"Boniswil (AG)","NA NA"
4193,64.5,64.5,35.5,"Brunegg (AG)","NA NA"
4194,29.5,29.5,70.5,"Dintikon (AG)","NA NA"
4195,48.1,48.1,51.9,"Egliswil (AG)","NA NA"
4196,18.5,18.5,81.5,"Fahrwangen (AG)","NA NA"
4197,31.9,31.9,68.1,"Hallwil (AG)","NA NA"
4198,45.2,45.2,54.8,"Hendschiken (AG)","NA NA"
4199,42.3,42.3,57.7,"Holderbank (AG)","NA NA"
4200,52,52,48,"Hunzenschwil (AG)","NA NA"
4201,88.9,88.9,11.1,"Lenzburg (AG)","NA NA"
4202,45.6,45.6,54.4,"Meisterschwanden (AG)","NA NA"
4203,38.2,38.2,61.8,"Möriken-Wildegg (AG)","NA NA"
4204,65.3,65.3,34.7,"Niederlenz (AG)","NA NA"
4205,72.1,72.1,27.9,"Othmarsingen (AG)","NA NA"
4206,27.5,27.5,72.5,"Rupperswil (AG)","NA NA"
4207,4.9,4.9,95.1,"Schafisheim (AG)","NA NA"
4208,50.4,50.4,49.6,"Seengen (AG)","NA NA"
4209,44.9,44.9,55.1,"Seon (AG)","NA NA"
4210,40.8,40.8,59.2,"Staufen (AG)","NA NA"
4221,63.4,63.4,36.6,"Abtwil (AG)","NA NA"
4222,64.1,64.1,35.9,"Aristau (AG)","NA NA"
4223,41.9,41.9,58.1,"Auw (AG)","NA NA"
4224,79,79,21,"Beinwil (Freiamt) (AG)","NA NA"
4226,89.5,89.5,10.5,"Besenbüren (AG)","NA NA"
4227,43.1,43.1,56.9,"Bettwil (AG)","NA NA"
4228,7.5,7.5,92.5,"Boswil (AG)","NA NA"
4229,64,64,36,"Bünzen (AG)","NA NA"
4230,65.7,65.7,34.3,"Buttwil (AG)","NA NA"
4231,71,71,29,"Dietwil (AG)","NA NA"
4232,60.5,60.5,39.5,"Geltwil (AG)","NA NA"
4233,31.1,31.1,68.9,"Kallern (AG)","NA NA"
4234,81.7,81.7,18.3,"Merenschwand (AG)","NA NA"
4235,16.3,16.3,83.7,"Mühlau (AG)","NA NA"
4236,24.3,24.3,75.7,"Muri (AG)","NA NA"
4237,39,39,61,"Oberrüti (AG)","NA NA"
4238,48,48,52,"Rottenschwil (AG)","NA NA"
4239,89.1,89.1,10.9,"Sins (AG)","NA NA"
4240,33.7,33.7,66.3,"Waltenschwil (AG)","NA NA"
4251,49.3,49.3,50.7,"Hellikon (AG)","NA NA"
4252,49.4,49.4,50.6,"Kaiseraugst (AG)","NA NA"
4253,46.2,46.2,53.8,"Magden (AG)","NA NA"
4254,50.4,50.4,49.6,"Möhlin (AG)","NA NA"
4255,73.2,73.2,26.8,"Mumpf (AG)","NA NA"
4256,50.8,50.8,49.2,"Obermumpf (AG)","NA NA"
4257,12.4,12.4,87.6,"Olsberg (AG)","NA NA"
4258,47.3,47.3,52.7,"Rheinfelden (AG)","NA NA"
4259,11.8,11.8,88.2,"Schupfart (AG)","NA NA"
4260,11,11,89,"Stein (AG)","NA NA"
4261,49.8,49.8,50.2,"Wallbach (AG)","NA NA"
4262,17.7,17.7,82.3,"Wegenstetten (AG)","NA NA"
4263,58.7,58.7,41.3,"Zeiningen (AG)","NA NA"
4264,5.4,5.4,94.6,"Zuzgen (AG)","NA NA"
4271,86.8,86.8,13.2,"Aarburg (AG)","NA NA"
4273,53.1,53.1,46.9,"Bottenwil (AG)","NA NA"
4274,58.8,58.8,41.2,"Brittnau (AG)","NA NA"
4275,67,67,33,"Kirchleerau (AG)","NA NA"
4276,28.6,28.6,71.4,"Kölliken (AG)","NA NA"
4277,76.5,76.5,23.5,"Moosleerau (AG)","NA NA"
4279,77.9,77.9,22.1,"Murgenthal (AG)","NA NA"
4280,64.8,64.8,35.2,"Oftringen (AG)","NA NA"
4281,87.3,87.3,12.7,"Reitnau (AG)","NA NA"
4282,64.2,64.2,35.8,"Rothrist (AG)","NA NA"
4283,72.1,72.1,27.9,"Safenwil (AG)","NA NA"
4284,51.3,51.3,48.7,"Staffelbach (AG)","NA NA"
4285,89.9,89.9,10.1,"Strengelbach (AG)","NA NA"
4286,63.7,63.7,36.3,"Uerkheim (AG)","NA NA"
4287,78.4,78.4,21.6,"Vordemwald (AG)","NA NA"
4288,61,61,39,"Wiliberg (AG)","NA NA"
4289,50,50,50,"Zofingue (AG)","NA NA"
4303,43.6,43.6,56.4,"Böttstein (AG)","NA NA"
4304,42.1,42.1,57.9,"Döttingen (AG)","NA NA"
4305,50.8,50.8,49.2,"Endingen (AG)","NA NA"
4306,56.6,56.6,43.4,"Fisibach (AG)","NA NA"
4307,49,49,51,"Full-Reuenthal (AG)","NA NA"
4309,32.9,32.9,67.1,"Klingnau (AG)","NA NA"
4310,95.7,95.7,4.3,"Koblenz (AG)","NA NA"
4311,81.5,81.5,18.5,"Leibstadt (AG)","NA NA"
4312,94.6,94.6,5.4,"Lengnau (AG)","NA NA"
4313,97.4,97.4,2.6,"Leuggern (AG)","NA NA"
4314,43.1,43.1,56.9,"Mellikon (AG)","NA NA"
4318,99.6,99.6,0.4,"Schneisingen (AG)","NA NA"
4319,77.1,77.1,22.9,"Siglistorf (AG)","NA NA"
4320,29.3,29.3,70.7,"Tegerfelden (AG)","NA NA"
4324,33.2,33.2,66.8,"Zurzach (AG)","NA NA"
